Posted On,BHK,Rent,Size,Bathroom,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Floor Level,Total Floors,Area Type_Carpet Area,Area Type_Super Area,City_Chennai,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai,Tenant Preferred_Bachelors/Family,Tenant Preferred_Family
2022-06-26,2,8000,1100.0,1,False,True,0,3.0,True,False,False,False,False,True,False,False,False
2022-07-02,1,5000,300.0,1,False,True,0,2.0,True,False,False,False,False,True,False,True,False
2022-05-05,2,7500,600.0,1,True,False,0,2.0,False,True,False,False,False,True,False,True,False
2022-05-18,2,6500,800.0,1,False,True,0,2.0,True,False,False,False,False,True,False,True,False
2022-06-07,1,7500,680.0,1,False,True,1,3.0,False,True,False,False,False,True,False,True,False
2022-06-07,1,7500,680.0,1,False,True,0,2.0,False,True,False,False,False,True,False,True,False
2022-06-26,2,16000,850.0,1,True,False,1,4.0,True,False,False,False,False,True,False,False,False
2022-06-26,2,16000,850.0,1,True,False,1,2.0,True,False,False,False,False,True,False,False,False
2022-05-30,2,6500,700.0,1,False,True,0,2.0,False,True,False,False,False,True,False,False,False
2022-05-22,3,40000,1500.0,2,False,True,0,2.0,False,True,False,False,False,True,False,True,False
2022-06-18,2,12500,950.0,2,True,False,1,4.0,False,True,False,False,False,True,False,True,False
2022-06-08,2,5500,500.0,1,False,True,0,2.0,False,True,False,False,False,True,False,True,False
2022-06-25,1,5000,450.0,1,True,False,2,4.0,True,False,False,False,False,True,False,True,False
2022-05-03,2,6500,700.0,1,False,True,0,2.0,False,True,False,False,False,True,False,False,False
2022-05-12,1,8000,500.0,1,False,True,1,2.0,False,True,False,False,False,True,False,True,False
2022-06-01,3,14500,1800.0,2,True,False,0,2.0,False,True,False,False,False,True,False,True,False
2022-05-23,1,8200,500.0,1,True,False,1,3.0,True,False,False,False,False,True,False,True,False
2022-05-23,2,15000,480.0,2,False,False,0,3.0,True,False,False,False,False,True,False,True,False
2022-06-21,6,20000,1000.0,2,True,False,1,1.0,False,True,False,False,False,True,False,True,False
2022-06-22,2,6700,800.0,1,False,False,1,2.0,False,True,False,False,False,True,False,True,False
2022-05-27,1,10000,435.0,1,False,True,2,3.0,False,True,False,False,False,True,False,True,False
2022-05-07,2,7000,700.0,2,True,False,0,2.0,True,False,False,False,False,True,False,True,False
2022-06-25,2,22000,800.0,1,False,False,4,4.0,False,True,False,False,False,True,False,True,False
2022-06-27,2,6500,450.0,1,False,True,1,3.0,False,True,False,False,False,True,False,True,False
2022-05-31,2,8500,550.0,1,True,False,2,3.0,True,False,False,False,False,True,False,True,False
2022-06-03,2,18000,800.0,2,False,True,0,4.0,True,False,False,False,False,True,False,False,False
2022-06-27,2,12000,550.0,2,True,False,0,2.0,True,False,False,False,False,True,False,False,True
2022-05-15,1,9000,600.0,1,False,False,2,4.0,False,True,False,False,False,True,False,True,False
2022-06-09,1,6000,500.0,1,False,True,0,1.0,False,True,False,False,False,True,False,True,False
2022-04-28,2,20000,1000.0,2,False,False,1,2.0,False,True,False,False,False,True,False,True,False
2022-05-23,1,5000,300.0,1,False,True,1,2.0,True,False,False,False,False,True,False,True,False
2022-06-28,2,12000,1200.0,2,False,False,1,3.0,False,True,False,False,False,True,False,True,False
2022-06-23,2,10000,500.0,1,True,False,3,4.0,True,False,False,False,False,True,False,True,False
2022-04-29,4,18000,1200.0,2,False,True,1,2.0,False,True,False,False,False,True,False,False,True
2022-06-13,2,15000,900.0,2,True,False,1,2.0,True,False,False,False,False,True,False,True,False
2022-06-13,3,22000,1300.0,3,False,True,0,2.0,True,False,False,False,False,True,False,True,False
2022-06-13,4,35000,1600.0,3,False,True,1,5.0,True,False,False,False,False,True,False,True,False
2022-05-14,3,21000,1450.0,2,False,True,0,1.0,False,True,False,False,False,True,False,False,True
2022-07-06,2,25000,1100.0,2,False,False,2,2.0,False,True,False,False,False,True,False,False,False
2022-06-16,2,180000,950.0,2,False,True,0,1.0,True,False,False,False,False,True,False,True,False
2022-06-06,1,6000,600.0,1,False,True,8,5.0,True,False,False,False,False,True,False,True,False
2022-07-04,2,14000,700.0,2,False,True,0,2.0,True,False,False,False,False,True,False,True,False
2022-05-15,3,8000,750.0,1,False,True,0,2.0,False,True,False,False,False,True,False,False,True
2022-05-04,2,8000,1000.0,1,False,True,0,1.0,False,True,False,False,False,True,False,True,False
2022-04-25,1,6000,220.0,1,False,False,0,2.0,False,True,False,False,False,True,False,True,False
2022-05-21,1,8000,300.0,1,True,False,1,3.0,True,False,False,False,False,True,False,False,False
2022-06-27,1,6000,300.0,1,False,True,0,1.0,True,False,False,False,False,True,False,True,False
2022-07-02,1,20000,700.0,1,True,False,1,2.0,False,True,False,False,False,True,False,True,False
2022-07-06,3,12000,800.0,2,False,True,0,1.0,False,True,False,False,False,True,False,True,False
2022-04-28,3,15000,1600.0,2,False,True,1,3.0,False,True,False,False,False,True,False,True,False
2022-05-15,2,14000,1000.0,2,False,True,1,3.0,True,False,False,False,False,True,False,True,False
2022-05-30,1,5000,20.0,1,False,True,2,3.0,False,True,False,False,False,True,False,True,False
2022-06-10,2,7000,400.0,1,False,True,0,2.0,True,False,False,False,False,True,False,True,False
2022-06-23,1,3900,200.0,1,False,False,2,2.0,False,True,False,False,False,True,False,True,False
2022-06-09,3,14000,840.0,2,False,True,1,4.0,True,False,False,False,False,True,False,False,False
2022-06-19,1,6300,300.0,1,False,True,1,1.0,True,False,False,False,False,True,False,True,False
2022-07-03,2,13000,550.0,2,False,False,1,2.0,True,False,False,False,False,True,False,True,False
2022-07-03,1,6800,300.0,1,False,True,1,2.0,True,False,False,False,False,True,False,True,False
2022-05-14,2,8000,800.0,2,False,True,1,1.0,False,True,False,False,False,True,False,True,False
2022-05-10,2,10000,740.0,1,False,True,0,6.0,True,False,False,False,False,True,False,False,False
2022-04-25,2,18000,1300.0,2,False,True,1,1.0,False,True,False,False,False,True,False,True,False
2022-06-13,2,8000,650.0,1,True,False,0,1.0,False,True,False,False,False,True,False,True,False
2022-05-06,2,8000,490.0,1,True,False,1,1.0,False,True,False,False,False,True,False,True,False
2022-06-08,1,4700,250.0,1,False,False,2,2.0,False,True,False,False,False,True,False,True,False
2022-06-08,1,4700,250.0,1,False,False,0,1.0,False,True,False,False,False,True,False,True,False
2022-05-06,1,4500,450.0,1,False,True,1,2.0,False,True,False,False,False,True,False,True,False
2022-06-30,1,6000,300.0,1,True,False,0,1.0,True,False,False,False,False,True,False,True,False
2022-06-24,2,16000,750.0,2,False,True,1,3.0,False,True,False,False,False,True,False,True,False
2022-07-01,1,4700,250.0,1,False,False,1,2.0,False,True,False,False,False,True,False,True,False
2022-06-17,2,14000,751.0,1,False,True,3,3.0,True,False,False,False,False,True,False,False,False
2022-06-26,2,9000,900.0,1,True,False,0,2.0,True,False,False,False,False,True,False,False,False
2022-06-23,2,5000,400.0,1,True,False,1,3.0,True,False,False,False,False,True,False,True,False
2022-06-13,2,17500,1000.0,2,True,False,0,2.0,True,False,False,False,False,True,False,True,False
2022-06-11,2,8500,1000.0,1,False,True,0,1.0,True,False,False,False,False,True,False,True,False
2022-05-26,3,15000,1500.0,2,True,False,1,1.0,True,False,False,False,False,True,False,False,True
2022-04-25,2,12500,750.0,2,False,True,1,3.0,True,False,False,False,False,True,False,True,False
2022-05-11,1,13000,1200.0,1,True,False,2,4.0,False,True,False,False,False,True,False,True,False
2022-05-06,2,8000,700.0,1,False,True,0,1.0,False,True,False,False,False,True,False,True,False
2022-05-10,2,8000,700.0,1,False,False,4,4.0,True,False,False,False,False,True,False,True,False
2022-05-21,2,8000,1000.0,1,True,False,0,2.0,False,True,False,False,False,True,False,True,False
2022-06-12,2,7000,1200.0,2,False,True,1,3.0,False,True,False,False,False,True,False,True,False
2022-06-05,2,2200,550.0,1,False,False,2,3.0,False,True,False,False,False,True,False,True,False
2022-06-25,2,8000,800.0,1,False,True,0,4.0,True,False,False,False,False,True,False,False,False
2022-06-11,2,5500,280.0,1,False,True,1,3.0,False,True,False,False,False,True,False,False,False
2022-07-04,3,20000,1100.0,3,False,True,0,2.0,False,True,False,False,False,True,False,True,False
2022-05-10,2,7000,950.0,1,False,True,0,2.0,False,True,False,False,False,True,False,True,False
2022-05-13,1,3500,250.0,1,False,False,1,2.0,False,True,False,False,False,True,False,True,False
2022-05-10,2,5000,1000.0,1,False,True,0,2.0,True,False,False,False,False,True,False,False,False
2022-06-30,3,20000,1000.0,2,True,False,0,2.0,True,False,False,False,False,True,False,True,False
2022-05-27,2,7000,650.0,1,False,True,0,2.0,False,True,False,False,False,True,False,True,False
2022-06-08,2,10000,700.0,2,False,True,1,2.0,False,True,False,False,False,True,False,True,False
2022-05-15,2,7000,700.0,1,False,True,0,3.0,True,False,False,False,False,True,False,False,False
2022-06-29,3,12000,1000.0,2,True,False,0,3.0,False,True,False,False,False,True,False,True,False
2022-05-13,2,14500,900.0,2,False,True,1,4.0,True,False,False,False,False,True,False,False,False
2022-05-25,1,6000,700.0,1,False,True,1,2.0,False,True,False,False,False,True,False,True,False
2022-07-04,2,9500,700.0,2,False,True,1,2.0,False,True,False,False,False,True,False,True,False
2022-06-27,2,10000,450.0,2,True,False,2,1.0,True,False,False,False,False,True,False,True,False
2022-05-06,1,3500,120.0,1,False,True,0,3.0,False,True,False,False,False,True,False,True,False
2022-06-01,2,9000,800.0,2,True,False,1,2.0,False,True,False,False,False,True,False,True,False
2022-06-07,3,40000,1220.0,2,False,True,2,3.0,True,False,False,False,False,True,False,True,False
2022-06-23,3,16500,1100.0,1,False,True,0,3.0,False,True,False,False,False,True,False,True,False
2022-06-12,3,8000,700.0,2,False,True,0,3.0,True,False,False,False,False,True,False,False,True
2022-05-10,2,12000,800.0,1,False,False,0,3.0,False,True,False,False,False,True,False,True,False
2022-06-27,2,6500,670.0,1,False,True,2,2.0,False,True,False,False,False,True,False,False,True
2022-04-30,4,40000,1300.0,3,False,True,1,2.0,False,True,False,False,False,True,False,True,False
2022-05-06,1,5000,190.0,1,True,False,0,2.0,False,True,False,False,False,True,False,True,False
2022-05-24,2,9000,700.0,1,True,False,0,2.0,False,True,False,False,False,True,False,True,False
2022-06-17,1,7000,240.0,1,False,True,0,4.0,True,False,False,False,False,True,False,False,False
2022-05-19,2,18000,850.0,1,True,False,2,4.0,True,False,False,False,False,True,False,False,True
2022-05-26,1,9000,950.0,2,False,True,1,2.0,False,True,False,False,False,True,False,True,False
2022-06-11,1,5500,450.0,1,False,False,1,2.0,True,False,False,False,False,True,False,True,False
2022-06-08,2,7500,800.0,1,False,True,0,2.0,True,False,False,False,False,True,False,False,False
2022-07-02,2,4000,600.0,1,False,True,1,2.0,True,False,False,False,False,True,False,True,False
2022-05-30,3,10500,800.0,2,False,True,2,2.0,True,False,False,False,False,True,False,False,False
2022-07-03,3,15000,1100.0,2,False,True,0,2.0,True,False,False,False,False,True,False,True,False
2022-06-16,2,15000,800.0,1,False,False,0,2.0,True,False,False,False,False,True,False,True,False
2022-05-13,1,50000,2200.0,3,False,False,2,5.0,False,True,False,False,False,True,False,True,False
2022-06-08,2,12000,950.0,2,False,True,1,1.0,True,False,False,False,False,True,False,False,False
2022-04-25,2,11000,550.0,1,False,True,2,3.0,True,False,False,False,False,True,False,True,False
2022-06-04,2,12000,1800.0,2,False,True,1,1.0,True,False,False,False,False,True,False,False,False
2022-05-11,2,8000,1000.0,1,False,False,0,2.0,False,True,False,False,False,True,False,True,False
2022-05-27,2,18000,600.0,2,True,False,0,3.0,False,True,False,False,False,True,False,True,False
2022-04-24,2,8000,750.0,2,True,False,2,4.0,True,False,False,False,False,True,False,True,False
2022-05-10,2,7000,685.0,1,False,True,2,3.0,False,True,False,False,False,True,False,True,False
2022-05-24,1,6500,44.0,1,False,False,0,1.0,True,False,False,False,False,True,False,True,False
2022-06-10,4,13000,1200.0,1,False,True,0,2.0,True,False,False,False,False,True,False,True,False
2022-05-05,2,9000,500.0,1,False,True,0,2.0,True,False,False,False,False,True,False,False,False
2022-04-29,4,10000,1110.0,2,False,True,2,2.0,True,False,False,False,False,True,False,True,False
2022-05-05,2,12000,1000.0,2,False,True,1,3.0,False,True,False,False,False,True,False,True,False
2022-06-26,2,5000,392.0,1,False,True,0,2.0,False,True,False,False,False,True,False,True,False
2022-05-09,2,6000,700.0,1,False,True,1,2.0,False,True,False,False,False,True,False,True,False
2022-05-19,1,5200,750.0,1,False,True,2,4.0,False,True,False,False,False,True,False,True,False
2022-06-07,3,15000,1500.0,2,False,True,1,2.0,False,True,False,False,False,True,False,False,True
2022-04-29,2,9000,900.0,2,False,True,0,1.0,False,True,False,False,False,True,False,True,False
2022-07-03,1,24000,710.0,1,False,False,1,1.0,False,True,False,False,False,True,False,False,False
2022-05-26,1,5500,400.0,1,False,True,0,3.0,True,False,False,False,False,True,False,True,False
2022-06-24,1,10000,700.0,1,False,True,1,2.0,True,False,False,False,False,True,False,False,False
2022-07-03,2,15000,1000.0,1,True,False,0,2.0,True,False,False,False,False,True,False,True,False
2022-06-12,1,4700,250.0,1,False,False,1,2.0,False,True,False,False,False,True,False,True,False
2022-05-14,1,5000,500.0,1,True,False,0,3.0,True,False,False,False,False,True,False,True,False
2022-05-20,2,5000,450.0,1,True,False,2,2.0,True,False,False,False,False,True,False,True,False
2022-06-27,3,15000,1400.0,1,False,True,1,3.0,False,True,False,False,False,True,False,True,False
2022-05-14,1,5000,500.0,1,True,False,1,1.0,True,False,False,False,False,True,False,True,False
2022-06-17,2,6000,700.0,1,False,True,0,1.0,True,False,False,False,False,True,False,True,False
2022-06-04,3,18000,1200.0,1,True,False,1,3.0,True,False,False,False,False,True,False,True,False
2022-06-21,2,8000,450.0,1,False,True,1,2.0,True,False,False,False,False,True,False,False,False
2022-06-23,1,13000,500.0,1,False,False,2,2.0,True,False,False,False,False,True,False,False,False
2022-07-02,2,7500,400.0,1,False,True,0,1.0,True,False,False,False,False,True,False,True,False
2022-04-24,3,12000,1000.0,2,False,True,0,1.0,False,True,False,False,False,True,False,True,False
2022-06-04,2,11000,750.0,1,False,True,0,1.0,True,False,False,False,False,True,False,False,False
2022-06-24,1,6000,450.0,1,False,True,0,2.0,False,True,False,False,False,True,False,False,True
2022-06-19,3,20000,1000.0,2,False,True,1,2.0,True,False,False,False,False,True,False,False,False
2022-07-03,2,7000,500.0,2,False,True,1,1.0,True,False,False,False,False,True,False,False,False
2022-06-19,4,30000,1600.0,2,False,True,0,1.0,True,False,False,False,False,True,False,False,False
2022-07-02,2,7500,550.0,1,False,True,0,1.0,True,False,False,False,False,True,False,False,False
2022-06-21,1,6500,550.0,2,False,True,1,2.0,False,True,False,False,False,True,False,True,False
2022-06-04,1,3000,200.0,1,False,True,2,3.0,False,True,False,False,False,True,False,True,False
2022-06-30,2,5200,650.0,1,False,True,1,2.0,True,False,False,False,False,True,False,False,False
2022-06-22,2,25000,1000.0,2,False,False,1,1.0,False,True,False,False,False,True,False,True,False
2022-05-27,2,12500,680.0,2,False,True,0,2.0,True,False,False,False,False,True,False,True,False
2022-06-17,2,8500,720.0,2,False,True,0,1.0,True,False,False,False,False,True,False,True,False
2022-06-20,2,3500,500.0,1,False,True,4,5.0,True,False,False,False,False,True,False,False,False
2022-06-30,2,7000,800.0,1,False,True,0,2.0,False,True,False,False,False,True,False,True,False
2022-05-19,1,3000,160.0,1,False,True,0,1.0,False,True,False,False,False,True,False,True,False
2022-06-19,2,14000,1200.0,2,False,True,1,2.0,True,False,False,False,False,True,False,True,False
2022-06-17,1,18000,700.0,1,False,False,0,4.0,False,True,False,False,False,True,False,True,False
2022-06-13,1,3500,1000.0,1,True,False,0,1.0,False,True,False,False,False,True,False,True,False
2022-06-16,2,16000,1250.0,2,False,True,0,1.0,False,True,False,False,False,True,False,True,False
2022-05-06,4,35000,1600.0,3,False,True,0,3.0,False,True,False,False,False,True,False,True,False
2022-06-04,2,21000,700.0,1,True,False,0,2.0,False,True,False,False,False,True,False,True,False
2022-06-16,1,4500,450.0,1,False,True,0,2.0,False,True,False,False,False,True,False,True,False
2022-06-04,2,15000,839.0,2,True,False,1,3.0,False,True,False,False,False,True,False,True,False
2022-07-01,1,4500,230.0,1,False,True,0,3.0,False,True,False,False,False,True,False,True,False
2022-05-06,1,5500,1800.0,1,False,True,0,2.0,False,True,False,False,False,True,False,True,False
2022-05-10,2,8500,800.0,2,False,True,1,2.0,False,True,False,False,False,True,False,True,False
2022-05-27,1,5000,500.0,1,True,False,0,1.0,True,False,False,False,False,True,False,True,False
2022-05-22,2,8500,620.0,1,False,True,0,1.0,True,False,False,False,False,True,False,False,False
2022-04-24,2,9000,650.0,1,False,True,2,3.0,True,False,False,False,False,True,False,True,False
2022-05-23,1,7500,550.0,1,True,False,1,2.0,False,True,False,False,False,True,False,True,False
2022-04-23,2,7000,450.0,2,False,False,1,3.0,True,False,False,False,False,True,False,False,False
