Posted On,BHK,Size,Bathroom,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Floor Level,Total Floors,Area Type_Carpet Area,Area Type_Super Area,City_Chennai,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai,Tenant Preferred_Bachelors/Family,Tenant Preferred_Family
2022-06-26,3,225.0,3,False,True,0,1.0,True,False,False,False,True,False,False,True,False
2022-04-28,3,1200.0,2,True,False,0,1.0,True,False,False,False,False,False,False,False,False
2022-05-12,3,2400.0,3,False,False,0,3.0,False,True,True,False,False,False,False,True,False
2022-06-23,2,775.0,1,True,False,2,3.0,True,False,False,False,False,False,False,True,False
2022-06-25,3,1100.0,2,True,False,4,10.0,False,True,False,False,True,False,False,True,False
2022-05-20,3,1000.0,2,False,True,1,2.0,False,True,False,False,True,False,False,True,False
2022-07-06,3,2600.0,4,True,False,8,18.0,True,False,False,False,False,False,False,False,True
2022-06-17,2,674.0,2,False,True,0,3.0,True,False,True,False,False,False,False,False,False
2022-07-06,4,3133.0,5,False,False,14,14.0,True,False,False,False,True,False,False,False,True
2022-05-14,3,1200.0,3,True,False,0,2.0,False,True,False,False,False,False,False,False,True
2022-07-02,5,4050.0,4,False,True,0,5.0,False,True,False,False,True,False,False,True,False
2022-05-12,2,1200.0,2,False,True,0,1.0,False,True,False,False,True,False,False,True,False
2022-05-14,1,499.0,1,True,False,2,3.0,True,False,False,True,False,False,False,False,True
2022-06-26,2,392.0,1,False,True,0,2.0,False,True,False,False,False,True,False,True,False
2022-06-23,3,1400.0,3,False,False,1,2.0,True,False,False,False,False,False,True,True,False
2022-06-19,2,500.0,1,True,False,2,3.0,False,True,False,False,False,False,False,True,False
2022-05-31,2,750.0,2,False,True,4,20.0,True,False,False,False,False,False,True,True,False
2022-06-15,2,800.0,2,True,False,0,2.0,False,True,False,False,False,False,False,False,True
2022-04-29,2,600.0,2,True,False,2,3.0,True,False,False,True,False,False,False,False,False
2022-07-02,2,1000.0,2,False,True,2,3.0,False,True,False,False,True,False,False,True,False
2022-05-16,2,1250.0,3,False,True,0,2.0,False,True,False,False,True,False,False,True,False
2022-06-29,1,600.0,1,False,True,1,2.0,False,True,True,False,False,False,False,True,False
2022-05-30,1,240.0,1,True,False,4,5.0,False,True,False,True,False,False,False,False,False
2022-06-14,2,724.0,2,False,True,6,11.0,True,False,False,False,False,False,True,True,False
2022-06-23,2,774.0,2,True,False,10,20.0,True,False,False,False,False,False,True,False,True
2022-05-23,2,600.0,2,True,False,1,2.0,False,True,False,False,False,False,False,True,False
2022-04-30,2,800.0,1,False,True,2,3.0,False,True,False,False,True,False,False,True,False
2022-06-27,3,1768.0,3,True,False,8,13.0,False,True,False,False,False,False,False,False,True
2022-07-09,4,2000.0,4,False,False,6,45.0,True,False,False,False,False,False,True,False,True
2022-06-06,2,803.0,2,True,False,1,2.0,False,True,True,False,False,False,False,True,False
2022-06-30,2,650.0,1,False,True,1,2.0,True,False,False,False,False,True,False,False,False
2022-07-07,1,250.0,1,True,False,1,4.0,False,True,False,False,False,False,False,True,False
2022-05-27,2,1200.0,2,True,False,1,2.0,False,True,False,False,False,False,False,True,False
2022-07-01,1,435.0,2,False,True,3,7.0,True,False,False,False,False,False,True,True,False
2022-06-28,3,999.0,2,True,False,14,23.0,True,False,False,False,False,False,True,False,True
2022-07-06,3,2000.0,3,True,False,1,3.0,False,True,True,False,False,False,False,True,False
2022-05-23,3,1600.0,3,True,False,2,4.0,True,False,False,False,False,False,False,True,False
2022-05-14,2,750.0,2,False,True,10,14.0,True,False,False,False,False,False,True,True,False
2022-06-24,2,800.0,2,False,True,2,2.0,False,True,True,False,False,False,False,True,False
2022-04-23,1,800.0,1,False,True,0,1.0,True,False,False,False,False,True,False,True,False
2022-07-06,1,400.0,1,False,True,1,2.0,False,True,False,False,False,False,False,True,False
2022-04-29,1,640.0,2,False,False,11,23.0,False,True,False,False,False,False,True,True,False
2022-06-24,2,450.0,1,False,True,2,3.0,True,False,False,False,False,True,False,False,False
2022-05-14,3,800.0,1,False,True,0,4.0,False,True,False,False,False,True,False,True,False
2022-07-07,1,650.0,1,True,False,0,3.0,False,True,False,False,False,False,False,True,False
2022-06-17,3,2400.0,3,False,False,1,3.0,False,True,False,False,True,False,False,True,False
2022-07-04,1,300.0,1,True,False,0,4.0,True,False,False,True,False,False,False,True,False
2022-05-12,2,800.0,2,True,False,2,4.0,False,True,False,False,True,False,False,True,False
2022-07-10,3,2405.0,4,True,False,10,14.0,False,True,False,False,True,False,False,False,False
2022-06-04,1,800.0,1,False,False,0,2.0,False,True,False,False,False,False,False,True,False
2022-07-06,3,2120.0,3,False,False,9,18.0,False,True,True,False,False,False,False,True,False
2022-05-25,2,800.0,2,False,False,3,4.0,False,True,False,False,True,False,False,True,False
2022-05-19,2,900.0,2,True,False,2,3.0,False,True,False,False,False,False,False,True,False
2022-05-05,1,380.0,1,False,True,19,19.0,True,False,False,False,False,False,True,True,False
2022-06-20,1,500.0,1,True,False,2,3.0,False,True,False,False,False,False,False,True,False
2022-05-27,1,100.0,2,True,False,2,3.0,False,True,False,False,False,False,False,True,False
2022-06-04,2,950.0,2,True,False,0,4.0,False,True,False,False,True,False,False,True,False
2022-07-02,2,1140.0,2,True,False,2,5.0,False,True,False,False,True,False,False,False,True
2022-05-31,1,490.0,1,False,True,0,8.0,False,True,False,False,False,False,True,True,False
2022-06-05,1,220.0,1,False,True,0,2.0,False,True,False,False,False,True,False,True,False
2022-05-30,2,805.0,2,True,False,1,2.0,False,True,True,False,False,False,False,True,False
2022-07-09,3,1450.0,3,True,False,2,5.0,True,False,False,False,True,False,False,False,True
2022-07-07,2,600.0,2,False,True,4,10.0,True,False,False,False,False,False,True,False,True
2022-05-23,2,800.0,1,True,False,0,2.0,False,True,False,False,False,False,False,True,False
2022-05-26,1,432.0,2,False,True,5,8.0,True,False,False,False,False,False,True,False,True
2022-05-06,2,914.0,2,True,False,0,2.0,False,True,True,False,False,False,False,True,False
2022-05-18,2,850.0,3,True,False,0,2.0,False,True,False,False,False,False,False,True,False
2022-07-06,1,250.0,1,False,False,0,4.0,True,False,False,True,False,False,False,False,False
2022-07-04,3,200.0,3,False,True,3,3.0,True,False,False,True,False,False,False,False,False
2022-05-01,3,1800.0,3,True,False,5,7.0,False,True,False,False,False,False,False,True,False
2022-05-10,2,800.0,2,False,True,0,2.0,True,False,False,False,False,True,False,True,False
